intent,category,function,service_type,description,example_utterances
gas_query,제어,가스,조회,가스 밸브 상태 조회,가스 열려있어? / 가스 밸브상태?
heating_down,제어,난방,온도내림,난방 온도 낮추기,
heating_off,제어,난방,전원OFF,난방 끄기,
heating_on,제어,난방,전원ON,난방 켜기,전체 난방 켜 줘 / 각 침실 난방 켜 줘
heating_query,제어,난방,조회,난방 상태/온도 조회,지금 온도 어때?
heating_schedule_cancel,제어,난방,예약취소,난방 예약 취소,난방 예약을 모두 취소해 줘
heating_schedule_query,제어,난방,예약조회,난방 예약 조회,난방 예약 있어?
heating_schedule_set,제어,난방,예약설정,난방 예약/외출모드 설정,오전 10시부터 오후 4시까지 전체 난방 외출 모드로 해 줘
heating_up,제어,난방,온도올림,난방 온도 높이기,전체 난방 좀 올려줘 / 난방 좀 올려줘
home_status_query,메인,상태,조회,집 전체 상태 종합 조회,지금 집 상태 어때?
light_brighten,제어,조명,밝기올림,조명 밝게,거실이 좀 어두침침한데?
light_dim,제어,조명,밝기내림,조명 어둡게/은은하게,거실 조명 은은하게/아늑하게/분위기있게/영화보기 좋게 해 줘
light_off,제어,조명,전원OFF,조명 끄기,
light_on,제어,조명,전원ON,조명 켜기,(공간명 지정이 없을 때) 불 좀 켜줘 / 거실 '커튼등/간접등' 만 켜 줘
light_query,제어,조명,조회,조명 상태 조회,주방 불 켜져있어? / 주방 불 켜져있어?
light_schedule,제어,조명,예약,조명 예약/취침모드 조회,조명 예약 뭐있어? / 취침모드 설정된/예약 어떻게 되어 있어?
manual_capability,메인,매뉴얼,기능안내,AI 기능 목록 안내,네가 할 수 있는 일이 뭐야?
manual_creator,메인,매뉴얼,제작사,제작사/개발사 정보,너는 누가 만들었어?
manual_name,메인,매뉴얼,호출명,호출명/이름 안내,너는 뭐라고 불러?
manual_unsupported,메인,매뉴얼,미지원,이름 변경 등 미지원,네 이름을 바꾸고 싶어
manual_usage,메인,매뉴얼,사용법,월패드 사용법 안내,월패드 사용법을 가르쳐줘
medical_exception,부가,의료,예외,의료 미지원 (상담/예약/대기),OOO 증상 있는데 어디 가야 해? / OOO 병원 대기 몇 명이야?
medical_hours,부가,의료,진료시간,특정 병원 진료시간 조회,OOOOO 오늘 진료해? / OOOOO 점심시간이야?
medical_search,부가,의료,검색,병원/약국 검색,근처 병원 어디 있어? / 가까운 병원 알려줘
news_exception,부가,뉴스,예외,뉴스 미지원 (예약 브리핑),매일 아침 7시 증시 뉴스 브리핑 해줘
news_info,부가,뉴스,안내,뉴스 서비스 안내 (출처/사용법),뉴스 출처가 어떻게 되지? / 특정 주제 뉴스만 들을 수 있나?
news_play,부가,뉴스,재생,뉴스 브리핑/재생,(특정 주제) OO 뉴스 / 뉴스 틀어줘/들려줘/오늘 뉴스 알려줘/최신 뉴스 말해줘
notice_query,더보기,공지사항,조회,단지 소식/공지 조회,새로운 단지소식 있어? / 읽어줘 / 새로운 단지소식 읽어줘
notification_query,메인,알림,조회,개인 알림 확인,오늘 새로운 알림 있어?
password_change,설정,비밀번호,변경,비밀번호 조회/변경,현재 월패드 비밀번호 뭐야? / 월패드 비밀번호 알아서 바꿔줘/추천해
security_activate,방범,외출,실행,외출모드 실행,외출모드 실행해 줘 / 나 지금 나갈건데/나가/외출해
security_query,방범,외출,조회,외출/방범 설정 조회,외출모드 설정할 수 있어? / 외출 설정 대기 시간은 어떻게 되지?
security_return_set,방범,복귀,설정,복귀 시 연동 설정,외출 설정 복귀 시간 설정가능해? / 외출 설정 복귀 시간이 뭐야?
stock_exception,부가,증시,예외,증시 미지원 (추천/수익),뭐 사야 돼? / 내 계좌 수익률 얼마야?
stock_index_query,부가,증시,지수조회,코스피/코스닥 지수 조회,오늘 주식 어때? / 증시 어때?
stock_price_query,부가,증시,종목조회,개별 종목 가격 조회,삼성전자 얼마야? / 하이닉스 올랐어?
system_brightness_schedule,설정,환경설정,밝기예약,화면 밝기 시간대 예약,월패드 화면을 오전 7시부터 오후 4시까지 어둡게 해줘
system_brightness_set,설정,환경설정,밝기조절,화면 밝기 조절,월패드 화면을 어둡게 해줘
system_exception,설정,환경설정,예외,설정 미지원,거실 조명이 밝을 때 월패드 화면이 어두워졌으면 좋겠어 / (시간대별 자동볼륨 시나리오 반영) 월패드 볼륨을 최대로 키워줘
system_faq,설정,환경설정,FAQ,시스템 설정 관련 질문,볼륨 조절할 수 있어? / 설정가능한게 뭐야?
system_volume_set,설정,환경설정,볼륨조절,볼륨 조절,월패드 볼륨을 최대로 키워줘
time_query,메인,시간,조회,현재 시간 조회,지금 몇 시야?
traffic_bus_query,부가,교통정보,버스,버스 도착/노선 정보,우리 집 앞 버스 언제 와? / 우리 집 앞 버스 언제 와?
traffic_exception,부가,교통정보,예외,교통 미지원 (택시),택시 불러줘
traffic_route_query,부가,교통정보,경로,경로/소요시간 조회,강남역까지 얼마나 걸려? / 지금 서울역 가면 몇 분 걸려?
ventilation_exception,제어,환기,예외,환기 미지원 (필터/수리),환기 필터 주문해줘 / 환기 고쳐줘
ventilation_mode,제어,환기,모드변경,환기 모드/풍량 변경,환기 세게 틀어줘 / 환기 모드 바꾸고 싶어
ventilation_off,제어,환기,전원OFF,환기 끄기,환기 꺼줘/좀 꺼
ventilation_on,제어,환기,전원ON,환기 켜기,공기가 답답하네
ventilation_query,제어,환기,조회,환기 상태/모드/필터 조회,지금 환기 되고있나? / 지금 환기 상태 어때?
ventilation_schedule_query,제어,환기,예약조회,환기 예약 조회,환기 예약돼 있어?
ventilation_schedule_set,제어,환기,예약설정,환기 예약 설정,내일부터 집에 돌아오면 환기 시스템 틀어줘
visitor_parking_query,더보기,방문차량,조회,방문 차량 등록 조회,0000000 차량 등록되어 있나?
visitor_parking_register,더보기,방문차량,등록,방문 차량 등록,0000000 차량 등록해 줘 / 오늘 하루만 00 엄마 차량 0000000 등록해 줘
weather_activity,부가,날씨,활동추천,활동 가능 여부 (세차/캠핑),오늘 한강 바람쐬기 괜찮나? / 오늘 세차해도 되나?
weather_clothing,부가,날씨,옷차림,옷차림 추천,오늘 뭐 입고 나가야 돼? / 오늘 겉옷 필요해?
weather_exception,부가,날씨,예외,날씨 미지원 (장기예보),3시간 뒤 비 정확히 몇 mm 와? / 다음 달 날씨 알려줘
weather_info,부가,날씨,조회,날씨/기온/강수 조회,오늘 날씨 어때? / 지금 밖에 더워?
