utterance,preprocessed,fn_exp,fn_pred,exec_exp,exec_pred,dir_exp,dir_pred,conf,categories
현관 확인,현관 확인,door_control,home_info,query_then_respond,query_then_respond,none,none,0.728,fn:door_control→home_info;length:very_short
엘리베이터 와,엘리베이터이터 와,elevator_call,elevator_call,query_then_respond,query_then_respond,on,none,1.000,dir:missing;length:very_short
엘리베이터 올려보내,엘리베이터이터 올려보내,elevator_call,elevator_call,control_then_confirm,query_then_respond,none,none,1.000,exec:control_then_confirm→query_then_respond;length:very_short
승강기 와줘,엘리베이터이터 와줘,elevator_call,elevator_call,query_then_respond,query_then_respond,on,none,1.000,dir:missing;length:very_short
알람 취소,알람 취소,schedule_manage,system_meta,control_then_confirm,control_then_confirm,off,off,0.975,fn:schedule_manage→system_meta;pattern:schedule_vs_system;length:very_short
알람 확인,알람 확인,schedule_manage,system_meta,query_then_respond,query_then_respond,none,none,0.995,fn:schedule_manage→system_meta;pattern:schedule_vs_system;length:very_short
알람 어때,알람 어때,schedule_manage,system_meta,query_then_respond,query_then_respond,none,none,0.939,fn:schedule_manage→system_meta;pattern:schedule_vs_system;length:very_short;style:colloquial
알람 켜,알람 켜,schedule_manage,system_meta,control_then_confirm,control_then_confirm,on,on,0.972,fn:schedule_manage→system_meta;pattern:schedule_vs_system;length:very_short
음량 확인해,음량 확인해,home_info,system_meta,direct_respond,direct_respond,none,none,0.636,fn:home_info→system_meta;pattern:home_vs_system;length:very_short
전화번호,전화번호,unknown,home_info,direct_respond,direct_respond,none,none,0.808,fn:unknown_to_known;length:very_short
카드,카드,unknown,security_mode,query_then_respond,query_then_respond,none,none,1.000,fn:unknown_to_known;length:very_short
교환,교환,unknown,unknown,direct_respond,query_then_respond,none,none,0.999,exec:direct_respond→query_then_respond;length:very_short
업데이트,업데이트,unknown,system_meta,direct_respond,direct_respond,none,none,0.943,fn:unknown_to_known;length:very_short
녹화,녹화,unknown,security_mode,direct_respond,direct_respond,none,none,0.832,fn:unknown_to_known;length:very_short
일정,일정,unknown,system_meta,query_then_respond,query_then_respond,none,none,0.708,fn:unknown_to_known;length:very_short
테니스,테니스,unknown,unknown,direct_respond,query_then_respond,none,none,1.000,exec:direct_respond→query_then_respond;length:very_short
배드민턴,배드민턴,unknown,unknown,direct_respond,query_then_respond,none,none,0.999,exec:direct_respond→query_then_respond;length:very_short
크루즈,크루즈,unknown,security_mode,direct_respond,direct_respond,none,none,0.570,fn:unknown_to_known;length:very_short
비행기,비행기,unknown,traffic_query,direct_respond,direct_respond,none,none,0.990,fn:unknown_to_known;length:very_short
동전 던져,동전 던져,unknown,unknown,query_then_respond,direct_respond,none,none,0.826,exec:query_then_respond→direct_respond;length:very_short
혈액형 궁합,혈액형 궁합,unknown,unknown,query_then_respond,direct_respond,none,none,0.971,exec:query_then_respond→direct_respond;length:very_short
안방 에어컨 냉방모드,안방 에어컨 냉방모드,ac_control,ac_control,control_then_confirm,control_then_confirm,none,on,1.000,dir:spurious;length:short
작은방 에어컨 냉방모드,작은방 에어컨 냉방모드,ac_control,ac_control,control_then_confirm,control_then_confirm,none,on,1.000,dir:spurious;length:short
아이방 에어컨 냉방모드,아이방 에어컨 냉방모드,ac_control,ac_control,control_then_confirm,control_then_confirm,none,on,1.000,dir:spurious;length:short
자전거 타도 돼?,자전거 타도 돼?,weather_query,market_query,query_then_judge,query_then_judge,none,none,0.450,fn:weather_query→market_query;length:short
작은방 좀 밝게,작은방 좀 밝게,light_control,light_control,control_then_confirm,control_then_confirm,up,down,1.000,dir:opposite_direction;length:short
주방 환기 좀 해줘,주방 환기 좀 해줘,vent_control,vent_control,control_then_confirm,control_then_confirm,on,none,1.000,dir:missing;length:short
거실 블라인드 올려주세요,거실 커튼 올려주세요,curtain_control,curtain_control,control_then_confirm,control_then_confirm,up,open,1.000,dir:up→open;length:short
안방 블라인드 내려주세요,안방 커튼 내려주세요,curtain_control,curtain_control,control_then_confirm,control_then_confirm,close,down,1.000,dir:close→down;length:short
주방 블라인드 올려주세요,주방 커튼 올려주세요,curtain_control,curtain_control,control_then_confirm,control_then_confirm,up,stop,1.000,dir:up→stop;length:short
주방 블라인드 내려주세요,주방 커튼 내려주세요,curtain_control,curtain_control,control_then_confirm,control_then_confirm,close,down,1.000,dir:close→down;length:short
침실 블라인드 올려주세요,침실 커튼 올려주세요,curtain_control,curtain_control,control_then_confirm,control_then_confirm,up,close,1.000,dir:up→close;length:short
작은방 블라인드 올려주세요,작은방 커튼 올려주세요,curtain_control,curtain_control,control_then_confirm,control_then_confirm,up,close,1.000,dir:up→close;length:short
작은방 블라인드 내려주세요,작은방 커튼 내려주세요,curtain_control,curtain_control,control_then_confirm,control_then_confirm,close,down,1.000,dir:close→down;length:short
아이방 블라인드 올려주세요,아이방 커튼 올려주세요,curtain_control,curtain_control,control_then_confirm,control_then_confirm,up,close,1.000,dir:up→close;length:short
경마 결과,경마 결과,unknown,news_query,direct_respond,query_then_respond,none,none,0.988,fn:unknown_to_known;exec:direct_respond→query_then_respond;length:very_short
토토 결과,토토 결과,unknown,news_query,direct_respond,query_then_respond,none,none,0.924,fn:unknown_to_known;exec:direct_respond→query_then_respond;length:very_short
거실 빨리 불 켜줘,거실 빨리 불 켜줘,light_control,light_control,control_then_confirm,control_then_confirm,none,on,1.000,dir:spurious;length:short
거실 혹시 불 켜줘,거실 혹시 불 켜줘,light_control,light_control,control_then_confirm,control_then_confirm,none,on,1.000,dir:spurious;length:short
거실 제발 불 켜줘,거실 제발 불 켜줘,light_control,light_control,control_then_confirm,control_then_confirm,none,on,1.000,dir:spurious;length:short
안방 지금 불 켜줘,안방 지금 불 켜줘,light_control,light_control,control_then_confirm,clarify,none,on,1.000,exec:control_then_confirm→clarify;dir:spurious;length:short
안방 혹시 불 켜줘,안방 혹시 불 켜줘,light_control,light_control,control_then_confirm,clarify,none,none,1.000,exec:control_then_confirm→clarify;length:short
안방 제발 불 켜줘,안방 제발 불 켜줘,light_control,light_control,clarify,clarify,none,on,1.000,dir:spurious;length:short
주방 좀 불 켜줘,주방 좀 불 켜줘,light_control,light_control,control_then_confirm,clarify,none,none,1.000,exec:control_then_confirm→clarify;length:short
주방 지금 불 켜줘,주방 지금 불 켜줘,light_control,light_control,control_then_confirm,clarify,none,none,1.000,exec:control_then_confirm→clarify;length:short
주방 야 불 켜줘,주방 야 불 켜줘,light_control,light_control,control_then_confirm,clarify,none,on,1.000,exec:control_then_confirm→clarify;dir:spurious;length:short
침실 지금 불 켜줘,침실 지금 불 켜줘,light_control,light_control,control_then_confirm,clarify,none,none,1.000,exec:control_then_confirm→clarify;length:short
침실 야 불 켜줘,침실 야 불 켜줘,light_control,light_control,control_then_confirm,clarify,none,none,1.000,exec:control_then_confirm→clarify;length:short
작은방 지금 불 켜줘,작은방 지금 불 켜줘,light_control,light_control,control_then_confirm,clarify,none,none,1.000,exec:control_then_confirm→clarify;length:short
작은방 야 불 켜줘,작은방 야 불 켜줘,light_control,light_control,control_then_confirm,clarify,none,none,1.000,exec:control_then_confirm→clarify;length:short
아이방 지금 불 켜줘,아이방 지금 불 켜줘,light_control,light_control,control_then_confirm,clarify,none,none,1.000,exec:control_then_confirm→clarify;length:short
아이방 야 불 켜줘,아이방 야 불 켜줘,light_control,light_control,control_then_confirm,clarify,none,none,1.000,exec:control_then_confirm→clarify;length:short
엘리베이터 와줘봐,엘리베이터이터 와줘봐,elevator_call,elevator_call,control_then_confirm,query_then_respond,on,none,1.000,exec:control_then_confirm→query_then_respond;dir:missing;length:very_short
알람 6시,알람 6시,schedule_manage,system_meta,control_then_confirm,control_then_confirm,set,set,1.000,fn:schedule_manage→system_meta;pattern:schedule_vs_system;length:very_short;has_number
알람 7시,알람 7시,schedule_manage,system_meta,control_then_confirm,control_then_confirm,set,set,1.000,fn:schedule_manage→system_meta;pattern:schedule_vs_system;length:very_short;has_number
알람 8시,알람 8시,schedule_manage,system_meta,control_then_confirm,control_then_confirm,set,set,1.000,fn:schedule_manage→system_meta;pattern:schedule_vs_system;length:very_short;has_number
알람 확인해줘,알람 확인해줘,schedule_manage,system_meta,control_then_confirm,control_then_confirm,set,set,1.000,fn:schedule_manage→system_meta;pattern:schedule_vs_system;length:very_short
세종 날씨,세종 날씨,weather_query,unknown,query_then_respond,query_then_respond,none,none,0.938,fn:known_to_unknown;length:very_short
전주 날씨,전주 날씨,weather_query,weather_query,query_then_respond,direct_respond,none,none,1.000,exec:query_then_respond→direct_respond;length:very_short
기아 주가,기아 주가,market_query,market_query,query_then_respond,direct_respond,none,none,0.999,exec:query_then_respond→direct_respond;length:very_short
근처 신경외과,근처 신경외과,medical_query,unknown,query_then_respond,query_then_respond,none,none,0.804,fn:known_to_unknown;length:very_short
약국 위치,약국 위치,medical_query,unknown,query_then_respond,query_then_respond,none,none,0.576,fn:known_to_unknown;length:very_short
알람 맞춰줘,알람 맞춰줘,schedule_manage,system_meta,control_then_confirm,control_then_confirm,set,set,0.989,fn:schedule_manage→system_meta;pattern:schedule_vs_system;length:very_short
엘리베이터 좀 불러줘,엘리베이터이터 좀 불러줘,elevator_call,elevator_call,control_then_confirm,query_then_respond,on,on,1.000,exec:control_then_confirm→query_then_respond;length:short
